Extracted from emacs with M-x describe-input-method.
!`	¡
\`{W}	Ẁ
\`{Y}	Ỳ
\`{a}	à
\`{e}	è
\`{i}	ì
\`{n}	ǹ
\`{o}	ò
\`{u}	ù
\`{w}	ẁ
\`{y}	ỳ
\beta	β
\beth	ℶ
\c\'C	Ḉ
\c\'c	ḉ
\c\uE	Ḝ
\c\ue	ḝ
\cdot	·
\cedi	₵
\cent	¢
\circ	∘
\cong	≅
\c{C}	Ç
\c{D}	Ḑ
\c{E}	Ȩ
\c{G}	Ģ
\c{H}	Ḩ
\c{K}	Ķ
\c{L}	Ļ
\c{N}	Ņ
\c{R}	Ŗ
\c{S}	Ş
\c{T}	Ţ
\c{c}	ç
\c{d}	ḑ
\c{e}	ȩ
\c{g}	ģ
\c{h}	ḩ
\c{k}	ķ
\c{l}	ļ
\c{n}	ņ
\c{r}	ŗ
\c{s}	ş
\c{t}	ţ
\d\.S	Ṩ
\d\.s	ṩ
\d\=L	Ḹ
\d\=R	Ṝ
\d\=l	ḹ
\d\=r	ṝ
\ddag	‡
\defs	≙
\dong	₫
\d{A}	Ạ
\d{B}	Ḅ
\d{D}	Ḍ
\d{E}	Ẹ
\d{H}	Ḥ
\d{I}	Ị
\d{K}	Ḳ
\d{L}	Ḷ
\d{M}	Ṃ
\d{N}	Ṇ
\d{O}	Ọ
\d{R}	Ṛ
\d{S}	Ṣ
\d{T}	Ṭ
\d{U}	Ụ
\d{V}	Ṿ
\d{W}	Ẉ
\d{Y}	Ỵ
\d{Z}	Ẓ
\d{a}	ạ
\d{b}	ḅ
\d{d}	ḍ
\d{e}	ẹ
\d{h}	ḥ
\d{i}	ị
\d{k}	ḳ
\d{l}	ḷ
\d{m}	ṃ
\d{n}	ṇ
\d{o}	ọ
\d{r}	ṛ
\d{s}	ṣ
\d{t}	ṭ
\d{u}	ụ
\d{v}	ṿ
\d{w}	ẉ
\d{y}	ỵ
\d{z}	ẓ
\euro	€
\flat	♭
\flqq	«
\frqq	»
\geqq	≧
\gets	←
\glqq	„
\gneq	≩
\grqq	“
\hbar	ℏ
\heta	ͱ
\hori	ϩ
\iota	ι
\k\=O	Ǭ
\k\=o	ǭ
\khei	ϧ
\k{A}	Ą
\k{E}	Ę
\k{I}	Į
\k{O}	Ǫ
\k{U}	Ų
\k{a}	ą
\k{e}	ę
\k{i}	į
\k{o}	ǫ
\k{u}	ų
\lari	₾
\leqq	≦
\lira	₤
\lneq	≨
\lnot	¬
\male	♂
\mill	₥
\ngeq	≱
\ngtr	≯
\nleq	≰
\nmid	∤
\nsim	≁
\odot	⊙
\oint	∮
\perp	⊥
\peso	₱
\prec	≺
\prod	∏
\quad	 
\rial	﷼
\shei	ϣ
\star	⋆
\succ	≻
\surd	√
\u\'A	Ắ
\u\'a	ắ
\u\`A	Ằ
\u\`a	ằ
\u\~A	Ẵ
\u\~a	ẵ
\u{A}	Ă
\u{E}	Ĕ
\u{G}	Ğ
\u{I}	Ĭ
\u{O}	Ŏ
\u{U}	Ŭ
\u{a}	ă
\u{e}	ĕ
\u{g}	ğ
\u{i}	ĭ
\u{o}	ŏ
\u{u}	ŭ
\v\.S	Ṧ
\v\.s	ṧ
\v{A}	Ǎ
\v{C}	Č
\v{D}	Ď
\v{E}	Ě
\v{G}	Ǧ
\v{H}	Ȟ
\v{I}	Ǐ
\v{K}	Ǩ
\v{L}	Ľ
\v{N}	Ň
\v{O}	Ǒ
\v{R}	Ř
\v{S}	Š
\v{T}	Ť
\v{U}	Ǔ
\v{Z}	Ž
\v{a}	ǎ
\v{c}	č
\v{d}	ď
\v{e}	ě
\v{g}	ǧ
\v{h}	ȟ
\v{i}	ǐ
\v{j}	ǰ
\v{k}	ǩ
\v{l}	ľ
\v{n}	ň
\v{o}	ǒ
\v{r}	ř
\v{s}	š
\v{t}	ť
\v{u}	ǔ
\v{z}	ž
\zeta	ζ
\~\"O	Ṏ
\~\"o	ṏ
\~\'O	Ṍ
\~\'U	Ṹ
\~\'o	ṍ
\~\'u	ṹ
\~\=O	Ȭ
\~\=o	ȭ
\~{A}	Ã
\~{E}	Ẽ
\~{I}	Ĩ
\~{N}	Ñ
\~{O}	Õ
\~{U}	Ũ
\~{V}	Ṽ
\~{Y}	Ỹ
\~{a}	ã
\~{e}	ẽ
\~{i}	ĩ
\~{n}	ñ
\~{o}	õ
\~{u}	ũ
\~{v}	ṽ
\~{y}	ỹ
^\ain	ᵜ
^\chi	ᵡ
^\eng	ᵑ
^\esh	ᶴ
^\eth	ᶞ
^\ezh	ᶾ
^\phi	ᶲ
^{SM}	℠
^{TM}	™
$\div$	÷
\'{\O}	Ǿ
\'{\o}	ǿ
\={\i}	ī
\Alpha	Α
\Delta	Δ
\Gamma	Γ
\Kappa	Κ
\Koppa	Ϟ
\Lamda	Λ
\Omega	Ω
\Sampi	Ϡ
\Shima	Ϭ
\Sigma	Σ
\Theta	Θ
\Vdash	⊩
\^{\j}	ĵ
\aleph	ℵ
\alpha	α
\amalg	∐
\angle	∠
\asymp	≍
\cdots	⋯
\colon	₡
\dashv	⊣
\ddots	⋱
\delta	δ
\doteq	≐
\equiv	≡
\frac1	⅟
\frown	⌢
\gamma	γ
\gimel	ℷ
\gneqq	≩
\gnsim	⋧
\imath	ı
\infty	∞
\kappa	κ
\koppa	ϟ
\lamda	λ
\lceil	⌈
\ldata	《
\ldots	…
\lneqq	≨
\lnsim	⋦
\manat	₼
\micro	µ
\minus	−
\nabla	∇
\naira	₦
\ncong	≇
\ngeqq	≱
\nleqq	≰
\nless	≮
\notin	∉
\nprec	⊀
\nsucc	⊁
\omega	ω
\oplus	⊕
\ounce	℥
\pound	£
\prime	′
\rceil	⌉
\rdata	》
\ruble	₽
\rupee	₨
\sampi	ϡ
\sharp	♯
\shima	ϭ
\sigma	σ
\simeq	≃
\smile	⌣
\sqcap	⊓
\sqcup	⊔
\tenge	₸
\theta	θ
\times	×
\uplus	⊎
\u{\i}	ĭ
\vDash	⊨
\varpi	ϖ
\vdash	⊢
\vdots	⋮
\v{\i}	ǐ
\v{\j}	ǰ
\wedge	∧
\~{\i}	ĩ
^\beta	ᵝ
^\heng	ꭜ
^\iota	ᶥ
^{TEL}	℡
$\cdot$	·
\"\'{I}	Ḯ
\"\'{U}	Ǘ
\"\'{i}	ḯ
\"\'{u}	ǘ
\"\={A}	Ǟ
\"\={O}	Ȫ
\"\={U}	Ǖ
\"\={a}	ǟ
\"\={o}	ȫ
\"\={u}	ǖ
\"\`{U}	Ǜ
\"\`{u}	ǜ
\"\v{U}	Ǚ
\"\v{u}	ǚ
\'\.{S}	Ṥ
\'\.{s}	ṥ
\'{\AE}	Ǽ
\'{\ae}	ǽ
\.\={A}	Ǡ
\.\={O}	Ȱ
\.\={a}	ǡ
\.\={o}	ȱ
\=\"{U}	Ṻ
\=\"{u}	ṻ
\=\'{E}	Ḗ
\=\'{O}	Ṓ
\=\'{e}	ḗ
\=\'{o}	ṓ
\=\`{E}	Ḕ
\=\`{O}	Ṑ
\=\`{e}	ḕ
\=\`{o}	ṑ
\={\AE}	Ǣ
\={\ae}	ǣ
\Bbb{N}	ℕ
\Bbb{P}	ℙ
\Bbb{R}	ℝ
\Bbb{Z}	ℤ
\Bumpeq	≎
\Frowny	☹
\Gangia	Ϫ
\Lambda	Λ
\Letter	✉
\Smiley	☺
\Stigma	Ϛ
\Subset	⋐
\Supset	⋑
\Vvdash	⊪
\^\'{A}	Ấ
\^\'{E}	Ế
\^\'{O}	Ố
\^\'{a}	ấ
\^\'{e}	ế
\^\'{o}	ố
\^\`{A}	Ầ
\^\`{E}	Ề
\^\`{O}	Ồ
\^\`{a}	ầ
\^\`{e}	ề
\^\`{o}	ồ
\^\d{A}	Ậ
\^\d{E}	Ệ
\^\d{O}	Ộ
\^\d{a}	ậ
\^\d{e}	ệ
\^\d{o}	ộ
\^\~{A}	Ẫ
\^\~{E}	Ễ
\^\~{O}	Ỗ
\^\~{a}	ẫ
\^\~{e}	ễ
\^\~{o}	ỗ
\approx	≈
\bigcap	⋂
\bigcup	⋃
\bigvee	⋁
\bowtie	⋈
\bullet	•
\bumpeq	≏
\c\'{C}	Ḉ
\c\'{c}	ḉ
\c\u{E}	Ḝ
\c\u{e}	ḝ
\circeq	≗
\coprod	∐
\d\.{S}	Ṩ
\d\.{s}	ṩ
\d\={L}	Ḹ
\d\={R}	Ṝ
\d\={l}	ḹ
\d\={r}	ṝ
\dagger	†
\daleth	ℸ
\degree	°
\eqcirc	≖
\exists	∃
\female	♀
\forall	∀
\frac12	½
\frac13	⅓
\frac14	¼
\frac15	⅕
\frac16	⅙
\frac18	⅛
\frac23	⅔
\frac25	⅖
\frac34	¾
\frac35	⅗
\frac38	⅜
\frac45	⅘
\frac56	⅚
\frac58	⅝
\frac78	⅞
\gangia	ϫ
\gtrdot	⋗
\gtrsim	≳
\k\={O}	Ǭ
\k\={o}	ǭ
\kelvin	K
\lambda	λ
\langle	⟨
\lfloor	⌊
\ltimes	⋉
\mapsto	↦
\models	⊧
\nVDash	⊯
\nVdash	⊮
\nequiv	≢
\nsimeq	≄
\numero	№
\nvDash	⊭
\nvdash	⊬
\ominus	⊖
\oslash	⊘
\otimes	⊗
\permil	‰
\peseta	₧
\pounds	£
\preceq	≼
\propto	∝
\rangle	⟩
\rfloor	⌋
\rtimes	⋊
\square	□
\stigma	ϛ
\subset	⊂
\succeq	≽
\supset	⊃
\textmu	µ
\tugrik	₮
\u\'{A}	Ắ
\u\'{a}	ắ
\u\`{A}	Ằ
\u\`{a}	ằ
\u\d{A}	Ặ
\u\d{a}	ặ
\u\~{A}	Ẵ
\u\~{a}	ẵ
\v\.{S}	Ṧ
\v\.{s}	ṧ
\varkai	ϗ
\varphi	ϕ
\varrho	ϱ
\veebar	⊻
\~\"{O}	Ṏ
\~\"{o}	ṏ
\~\'{O}	Ṍ
\~\'{U}	Ṹ
\~\'{o}	ṍ
\~\'{u}	ṹ
\~\={O}	Ȭ
\~\={o}	ȭ
^\alpha	ᵅ
^\delta	ᵟ
^\gamma	ˠ
^\schwa	ᵊ
^\theta	ᶿ
^\u bar	ᶶ
$\times$	×
\Diamond	◇
\Digamma	Ϝ
\Epsilon	Ε
\Omicron	Ο
\Uparrow	⇑
\Upsilon	Υ
\afghani	؋
\austral	₳
\backsim	∽
\because	∵
\between	≬
\bigcirc	◯
\bigstar	★
\boxplus	⊞
\caution	☡
\celsius	℃
\coloneq	≔
\ddagger	‡
\diamond	⋄
\digamma	ϝ
\dotplus	∔
\drachma	₯
\epsilon	ε
\eqcolon	≕
\gtrless	≷
\guarani	₲
\hryvnia	₴
\leadsto	↝
\lessdot	⋖
\lessgtr	≶
\lesssim	≲
\lozenge	✧
\maltese	✠
\napprox	≉
\natural	♮
\nearrow	↗
\newline	 
\nexists	∄
\nomisma	𐆎
\npreceq	⋠
\nsubset	⊄
\nsucceq	⋡
\nsupset	⊅
\nwarrow	↖
\omicron	ο
\partial	∂
\pilcrow	¶
\precsim	≾
\searrow	↘
\section	§
\succsim	≿
\swarrow	↙
\textwon	₩
\uparrow	↑
\upsilon	υ
\varbeta	ϐ
\warning	⚠
^\h hook	ʱ
^\open e	ᵋ
^\open o	ᵓ
\angstrom	Å
\approxeq	≊
\backcong	≌
\barwedge	⊼
\bigwedge	⋀
\boxminus	⊟
\boxtimes	⊠
\circledR	®
\circledS	Ⓢ
\clubsuit	♣
\cruzeiro	₢
\curlyvee	⋎
\currency	¤
\diameter	⌀
\division	÷
\doteqdot	≑
\emptyset	∅
\geqslant	≥
\gnapprox	⋧
\intercal	⊺
\leqslant	≤
\llcorner	⌞
\lnapprox	⋦
\lrcorner	⌟
\multimap	⊸
\parallel	∥
\precnsim	⋨
\setminus	∖
\shortmid	∣
\spesmilo	₷
\sqsubset	⊏
\sqsupset	⊐
\subseteq	⊆
\succnsim	⋩
\supseteq	⊇
\textbaht	฿
\textdied	✝
\textlira	₤
\textpeso	₱
\thicksim	∼
\triangle	▵
\ulcorner	⌜
\urcorner	⌝
\varkappa	ϰ
\varprime	′
\varsigma	ς
\vartheta	ϑ
^\upsilon	ᶷ
\Downarrow	⇓
\Leftarrow	⇐
\backprime	‵
\backsimeq	⋍
\biohazard	☣
\centerdot	·
\checkmark	✓
\copyright	©
\dotsquare	⊡
\downarrow	↓
\facsimile	℻
\gtrapprox	≳
\gtreqless	⋛
\gvertneqq	≩
\heartsuit	♥
\lambdabar	ƛ
\leftarrow	←
\lesseqgtr	⋚
\llbracket	〚
\lvertneqq	≨
\ngeqslant	≱
\nleqslant	≰
\nparallel	∦
\nshortmid	∤
\nsubseteq	⊈
\nsupseteq	⊉
\octagonal	🛑
\paragraph	¶
\pitchfork	⋔
\rrbracket	〛
\spadesuit	♠
\subseteqq	⊆
\subsetneq	⊊
\supseteqq	⊇
\supsetneq	⊋
\telephone	℡
\textnaira	₦
\therefore	∴
\triangleq	≜
\varpropto	∝
^\Barred B	ᴯ
^\barred o	ᶱ
^\script g	ᶢ
^\turned a	ᵄ
^\turned h	ᶣ
^\turned i	ᵎ
^\turned m	ᵚ
^\turned r	ʴ
^\turned v	ᶺ
\Lleftarrow	⇚
\Rightarrow	⇒
\circledast	⊛
\complement	∁
\curlywedge	⋏
\eqslantgtr	⋝
\gtreqqless	⋛
\lessapprox	≲
\lesseqqgtr	⋚
\longmapsto	↦
\mathscr{I}	ℐ
\nLeftarrow	⇍
\nleftarrow	↚
\nsubseteqq	⊈
\nsupseteqq	⊉
\precapprox	≾
\prohibited	🛇
\registered	®
\rightarrow	→
\smallamalg	∐
\smallsmile	⌣
\sqsubseteq	⊑
\sqsupseteq	⊒
\subsetneqq	⊊
\succapprox	≿
\supsetneqq	⊋
\textlquill	⁅
\textnumero	№
\textrecipe	℞
\textrquill	⁆
\upuparrows	⇈
^\capital i	ᶦ
^\capital l	ᶫ
^\capital n	ᶰ
^\capital u	ᶸ
^\greek phi	ᵠ
^\turned ae	ᵆ
\Rrightarrow	⇛
\Updownarrow	⇕
\backepsilon	∍
\blacksmiley	☻
\blacksquare	▪
\circledcirc	⊚
\circleddash	⊝
\curlyeqprec	⋞
\curlyeqsucc	⋟
\curlypreceq	≼
\diamondsuit	♢
\eqslantless	⋜
\nRightarrow	⇏
\nrightarrow	↛
\ordfeminine	ª
\partnership	㉐
\precnapprox	⋨
\radioactive	☢
\straightphi	φ
\succcurlyeq	≽
\succnapprox	⋩
\thickapprox	≈
\uncertainty	⯑
\updownarrow	↕
^\Reversed E	ᴲ
^\Reversed N	ᴻ
^\sideways u	ᵙ
^\top half o	ᵔ
\blacklozenge	✦
\construction	🚧
\ordmasculine	º
\risingdotseq	≓
\textcircledP	℗
\textdiscount	⁒
\triangledown	▿
\triangleleft	◃
^\c with curl	ᶝ
^\greek gamma	ᵞ
^\h with hook	ʱ
^\ligature oe	ꟹ
^\m with hook	ᶬ
^\s with hook	ᶳ
^\v with hook	ᶹ
^\z with curl	ᶽ
\Longleftarrow	⇐
\bigtriangleup	△
\blacktriangle	▴
\divideontimes	⋇
\fallingdotseq	≒
\hookleftarrow	↩
\leftarrowtail	↢
\leftharpoonup	↼
\longleftarrow	←
\looparrowleft	↫
\measuredangle	∡
\ntriangleleft	⋪
\shortparallel	∥
\smallsetminus	∖
\textbigcircle	⃝
\textestimated	℮
\triangleright	▹
\upleftharpoon	↿
^\turned alpha	ᶛ
\Leftrightarrow	⇔
